Filename,WT,FSS,HH
Straightened (1)/20170801_1-s.png,0.0046,0.8154,0.1799
Straightened (1)/20170801_10s.png,0.0058,0.1465,0.8478
Straightened (1)/20170801_11-s.png,0.0004,0.9698,0.0298
Straightened (1)/20170801_12-s.png,0.0009,0.974,0.0251
Straightened (1)/20170801_14-s.png,0.002,0.8118,0.1862
Straightened (1)/20170801_15-s.png,0.0002,0.9915,0.0082
Straightened (1)/20170801_16-s.png,0.0291,0.1861,0.7848
Straightened (1)/20170801_17-s.png,0.0019,0.9451,0.053
Straightened (1)/20170801_18-s.png,0.0004,0.9915,0.0081
Straightened (1)/20170801_19-s.png,0.002,0.6983,0.2997
Straightened (1)/20170801_2-s.png,0.0084,0.2449,0.7467
Straightened (1)/20170801_20-s.png,0.0012,0.9647,0.0342
Straightened (1)/20170801_21-s.png,0.0002,0.9922,0.0076
Straightened (1)/20170801_22-s.png,0.004,0.534,0.462
Straightened (1)/20170801_23-s.png,0.0023,0.9406,0.0571
Straightened (1)/20170801_24-s.png,0.0043,0.6529,0.3428
Straightened (1)/20170801_25-s.png,0.0009,0.9366,0.0625
Straightened (1)/20170801_26-s.png,0.001,0.9602,0.0388
Straightened (1)/20170801_27-s.png,0.0007,0.9715,0.0278
Straightened (1)/20170801_28-s.png,0.0066,0.0333,0.9601
Straightened (1)/20170801_29-s.png,0.0004,0.9867,0.0128
Straightened (1)/20170801_3-s.png,0.0018,0.8979,0.1003
Straightened (1)/20170801_30-s.png,0.0045,0.8113,0.1842
Straightened (1)/20170801_4-s.png,0.012,0.0746,0.9134
Straightened (1)/20170801_5-s.png,0.0009,0.9199,0.0792
Straightened (1)/20170801_6-s.png,0.0013,0.81,0.1886
Straightened (1)/20170801_7-s.png,0.0002,0.9911,0.0086
Straightened (1)/20170801_8-s.png,0.0011,0.9436,0.0553
Straightened (1)/20170801_9-s.png,0.001,0.9816,0.0173
Model,"(<tensorflow.python.keras.optimizers.RMSprop object at 0x7f88e3174be0>, ', Learning Rate:', 0.0001, ', Hidden_Units:', 256, 'Input_size:', '75,375')",,
